Schluesse;Straftat;Gemeindeschluessel;Stadt_Landkreis;Kreisart;erfasste_Faelle;HZ_nach_Zensus;Versuche_Anzahl;Versuche_Anteil_in_Prozent;mit_Schusswaffe_gedroht;mit_Schusswaffe_geschossen;aufgeklaerte_Faelle;Aufklaerungsquote;Tatverdaechtige_insgesamt;Tatverdaechtige_maennlich;Tatverdaechtige_weiblich;Nichtdeutsche_Tatverdaechtige_Anzahl;Nichtdeutsche_Tatverdaechtige_Anteil_in_Prozent
------;Straftaten insgesamt;1001;Flensburg;KfS;10828;12785;864;8.0;14;13;6523;60.2;4866;3746;1120;2210;45.4
------;Straftaten insgesamt;1002;Kiel;KfS;26078;10725;2196;8.4;36;13;12221;46.9;8798;6644;2154;2253;25.6
------;Straftaten insgesamt;1003;Lübeck;KfS;22881;10671;1714;7.5;19;15;11764;51.4;8202;6074;2128;2058;25.1
------;Straftaten insgesamt;1004;Neumünster;KfS;17418;22449;887;5.1;13;12;13455;77.2;12091;9111;2980;9406;77.8
------;Straftaten insgesamt;1051;Dithmarschen;K;7345;5536;482;6.6;10;16;3954;53.8;3008;2241;767;343;11.4
------;Straftaten insgesamt;1053;Herzogtum Lauenburg;K;10615;5566;997;9.4;19;19;5268;49.6;4098;3093;1005;786;19.2
------;Straftaten insgesamt;1054;Nordfriesland;K;8938;5510;577;6.5;17;10;4562;51.0;3587;2754;833;585;16.3
------;Straftaten insgesamt;1055;Ostholstein;K;13543;6828;1012;7.5;19;29;6774;50.0;5577;4333;1244;1510;27.1
------;Straftaten insgesamt;1056;Pinneberg;K;19779;6504;1634;8.3;17;20;9174;46.4;7221;5569;1652;1853;25.7
------;Straftaten insgesamt;1057;Plön;K;5850;4611;506;8.6;7;10;2784;47.6;2338;1785;553;279;11.9
------;Straftaten insgesamt;1058;Rendsburg-Eckernförde;K;13195;4912;1180;8.9;21;49;6864;52.0;5290;4012;1278;786;14.9
------;Straftaten insgesamt;1059;Schleswig-Flensburg;K;9721;4970;618;6.4;12;6;5947;61.2;4952;3911;1041;1873;37.8
------;Straftaten insgesamt;1060;Segeberg;K;15252;5756;1313;8.6;23;21;6945;45.5;5786;4446;1340;1156;20.0
------;Straftaten insgesamt;1061;Steinburg;K;7380;5667;588;8.0;14;15;3698;50.1;2771;2139;632;448;16.2
------;Straftaten insgesamt;1062;Stormarn;K;13775;5819;1516;11.0;19;11;5642;41.0;4788;3692;1096;1079;22.5
------;Straftaten insgesamt;2000;Hamburg;KfS;243313;13803;19072;7.8;346;156;106510;43.8;73592;56927;16665;33274;45.2
------;Straftaten insgesamt;3101;Braunschweig;KfS;25497;10260;1676;6.6;24;12;14932;58.6;11220;8854;2366;4071;36.3
------;Straftaten insgesamt;3102;Salzgitter;KfS;6379;6446;451;7.1;10;9;3808;59.7;3067;2248;819;674;22.0
------;Straftaten insgesamt;3103;Wolfsburg;KfS;9606;7808;738;7.7;9;4;5509;57.3;3787;2914;873;1048;27.7
------;Straftaten insgesamt;3151;Gifhorn;LK;7756;4495;566;7.3;10;19;4835;62.3;3497;2563;934;664;19.0
------;Straftaten insgesamt;3152;Göttingen;LK;21825;8722;1504;6.9;15;16;13796;63.2;10607;8042;2565;4959;46.8
------;Straftaten insgesamt;3153;Goslar;LK;9687;7058;700;7.2;18;38;5967;61.6;4376;3224;1152;702;16.0
------;Straftaten insgesamt;3154;Helmstedt;LK;5949;6544;560;9.4;25;17;3814;64.1;2804;2142;662;587;20.9
------;Straftaten insgesamt;3155;Northeim;LK;7589;5667;560;7.4;4;5;5069;66.8;3703;2765;938;627;16.9
------;Straftaten insgesamt;3156;Osterode am Harz;LK;4002;5423;335;8.4;5;5;2724;68.1;1989;1378;611;208;10.5
------;Straftaten insgesamt;3157;Peine;LK;6547;5013;486;7.4;14;16;3624;55.4;2848;2161;687;753;26.4
------;Straftaten insgesamt;3158;Wolfenbüttel;LK;4841;4033;358;7.4;11;13;2766;57.1;2320;1753;567;403;17.4
------;Straftaten insgesamt;3241;Region Hannover;LK;121119;10737;9299;7.7;127;67;73485;60.7;45182;33806;11376;16545;36.6
------;Straftaten insgesamt;3251;Diepholz;LK;11834;5606;964;8.1;19;22;6987;59.0;5047;3921;1126;1071;21.2
------;Straftaten insgesamt;3252;Hameln-Pyrmont;LK;9560;6468;645;6.7;11;29;6603;69.1;4615;3360;1255;1052;22.8
------;Straftaten insgesamt;3254;Hildesheim;LK;17443;6353;1571;9.0;35;25;10524;60.3;7654;5763;1891;1624;21.2
------;Straftaten insgesamt;3255;Holzminden;LK;3643;5100;331;9.1;4;3;2465;67.7;1867;1367;500;248;13.3
------;Straftaten insgesamt;3256;Nienburg (Weser);LK;6345;5304;479;7.5;9;8;3841;60.5;2790;2085;705;449;16.1
